,ปี,จังหวัด,อำเภอ,อปท,รถเปิดข้างเทท้าย/คัน,รถแบบอัดท้าย (คัน),รถคอนเทนเนอร์ (คัน),รถบรรทุกเทท้าย (คัน),รถปิคอัพ (คัน),รถชนิดอื่นๆ (คัน)
52,2564,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0,0,0,0,0,0
53,2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0,5,0,2,0,0
54,2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0,8,0,0,0,0
55,2564,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0,14,2,0,0,0
56,2564,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0,0,0,0,0,0
57,2564,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,8,9,4,5,0,3
58,2564,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0,0,0,0,0,6
59,2564,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0,4,0,0,0,0
60,2564,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0,2,0,0,0,0
61,2564,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0,6,0,0,0,0
62,2564,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0,0,0,0,0,0
63,2564,นนทบุรี,บางกรวย,อบต.บางขนุน,0,3,1,0,0,0
64,2564,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0,0,0,0,0,0
65,2564,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,1,5,0,0,0,0
66,2564,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,8,8,0,0,0,0
67,2564,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0,2,0,0,0,0
68,2564,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0,6,0,0,0,0
69,2564,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0,0,0,0,0,0
70,2564,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0,3,0,0,0,0
71,2564,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0,3,0,0,0,0
72,2564,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0,5,0,0,0,0
73,2565,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,2,39,3,4,0,47
74,2565,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1,13,2,2,0,0
75,2565,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0,9,0,0,0,0
76,2565,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0,8,0,0,0,0
77,2565,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0,13,0,3,0,1
78,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,1,6,1,0,1,3
79,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0,7,0,0,1,0
80,2565,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0,14,2,0,0,0
81,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,6,9,4,6,0,0
82,2565,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0,2,0,0,0,0
83,2565,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0,7,0,0,0,0
84,2565,นนทบุรี,บางกรวย,อบต.บางขนุน,0,3,1,0,0,0
85,2565,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0,6,0,0,0,0
86,2565,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0,4,0,0,0,0
87,2565,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0,3,0,0,0,0
