,ปี,จังหวัด,อำเภอ,อปท,ค่าจัดซื้อครุภัณฑ์,ค่าน้ำมัน,ค่าบำรุงรักษาระบบ,ค่าจ้างคนงาน,ค่าเก็บขน,ค่ากำจัด
45,2564,นนทบุรี,บางใหญ่,อบต.บางใหญ่,3192000.0,332870.0,353827.6,666305.0,0.0,0.0
46,2564,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,700000.0,800000.0,1460280.0,0.0,0.0
47,2564,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,249105.2,15497.2,1187760.0,0.0,0.0
48,2565,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0.0,15361736.65,10968142.94,48340120.0,146770880.0,19369080.0
49,2565,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,4945863.69,3332600.39,11467373.0,0.0,2621692.0
50,2565,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,2043674.55,1761114.5,4539627.0,0.0,0.0
51,2565,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,3269000.0,2778800.0,1592323.2,8113071.45,0.0,1952424.0
52,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0.0,3000000.0,2000000.0,4000000.0,0.0,0.0
53,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,1890060.8,740005.4,7933302.57,0.0,1233702.52
54,2565,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0,7471989.0,4348771.0,10921534.0,10776300.0,0.0
55,2565,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,152758.0,105080.0,659160.0,0.0,0.0
56,2565,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,2400000.0,1500000.0,1000000.0,3600000.0,0.0,0.0
57,2565,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,645759.7,1002900.3,0.0,0.0,678201.0
58,2565,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,2500000.0,708000.0,395000.0,1521840.0,0.0,0.0
59,2565,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,500000.0,800000.0,1756680.0,0.0,0.0
60,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,0.0,0.0,0.0,0.0,0.0,0.0
61,2566,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,0.0,0.0,0.0,0.0,0.0,0.0
62,2566,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
63,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0,0.0,0.0,7293175.63,1359374.25
64,2566,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,5190633.0,3854901.8,12963700.0,0.0,2416618.5
65,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,2400000.0,2311454.0,1253843.0,3888000.0,0.0,0.0
66,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,2170692.89,678652.85,4539627.0,460512.84,0.0
67,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0,0.0,0.0,0.0,0.0
68,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0,0.0,0.0,0.0,0.0
69,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,2569000.0,2946330.0,2096767.35,6713368.0,0.0,2048265.04
