,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
54,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,1.2
55,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,750.0
56,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,98.81
57,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
58,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
59,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.05
60,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3132.0
61,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,11.0
62,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,324.65
63,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,4.7
64,2563,มีนาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.55
65,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.62
66,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,20.0
67,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,261.44
68,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,541.72
69,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,3.0
70,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,115.19
71,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,150.0
72,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,6.86
73,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,298.33
74,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,241.65
75,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,450.83
76,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,50.0
77,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,2.21
78,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,195.0
79,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.0
80,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1.05
81,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,337.86
82,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,115.14
83,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,53.33
84,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.46
85,2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
86,2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,1.0
87,2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,755.0
88,2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,109.07
89,2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
90,2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
91,2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.05
92,2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3432.0
93,2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,13.0
94,2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,361.82
95,2563,เมษายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,5.91
96,2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.66
97,2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,20.0
98,2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,282.03
99,2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,579.75
100,2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,2.0
101,2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขนุน,106.67
102,2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,120.0
103,2563,เมษายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,3.89
104,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,321.68
